loss,accuracy,val_loss,val_accuracy,time
2.3814098834991455,0.21956844627857208,2.2606987953186035,0.24761904776096344,4.183535099029541
1.9887490272521973,0.375,1.669061303138733,0.5553571581840515,7.4898927211761475
1.35408616065979,0.7780506014823914,1.0383998155593872,0.9211309552192688,10.793978929519653
0.823196291923523,0.9598214030265808,0.616895854473114,0.9937499761581421,14.095389366149902
0.5016475319862366,0.9869791865348816,0.37916693091392517,0.993154764175415,17.379563331604004
0.3195621967315674,0.9921875,0.24524566531181335,0.994940459728241,20.704072952270508
0.2133866399526596,0.994940459728241,0.16593512892723083,0.9964285492897034,24.00537133216858
0.14700911939144135,0.9960565567016602,0.11520765721797943,0.9964285492897034,27.292855978012085
0.10465336591005325,0.9970982074737549,0.0820675864815712,0.9979166388511658,30.56843113899231
0.076435886323452,0.9976934790611267,0.060333650559186935,0.9979166388511658,33.86869144439697
